Designator,Mid X (mm),Mid Y (mm),Layer,Rotation (Â°)
C13,65.7999954,106.6939954,TOP,270.0
R28,85.9968054,154.6120098,TOP,0.0
LED2,80.02399539999999,154.70002079999998,TOP,180.0
R6,86.1195128,151.0560098,TOP,0.0
J5,92.9779954,83.9609954,TOP,90.0
J4,91.8379926,57.1639954,TOP,180.0
J3,91.8379926,69.6099954,TOP,180.0
R27,84.3532984,139.9640076,TOP,270.0
R26,63.2712984,66.81200759999999,TOP,270.0
R25,67.57400759999999,65.5346924,TOP,180.0
R24,87.3786924,139.97198319999998,TOP,90.0
R23,67.5819832,68.3512984,TOP,0.0
R22,69.86000759999999,60.2006924,TOP,180.0
R21,71.1452984,55.89000759999999,TOP,270.0
R20,68.3512984,55.89000759999999,TOP,270.0
R19,65.5572984,55.89000759999999,TOP,270.0
R18,86.1086924,20.8459832,TOP,90.0
R17,83.3146924,20.8459832,TOP,90.0
R16,80.5206924,20.8459832,TOP,90.0
R15,77.7266924,20.8459832,TOP,90.0
R14,73.9166924,55.89800859999999,TOP,90.0
R13,62.7632984,55.89000759999999,TOP,270.0
R12,71.6306924,66.6536894,TOP,90.0
S6,70.740016,36.6039908,TOP,270.0
S1,86.6099868,36.6039908,TOP,270.0
R11,94.4906924,139.20998319999998,TOP,90.0
R10,92.2046924,135.9079832,TOP,90.0
R9,88.91399539999999,132.62843679999995,TOP,90.0
R8,89.9412984,123.4540076,TOP,270.0
LED1,80.1508176,151.04468139999997,TOP,180.0
J2,101.8679954,130.5699954,TOP,90.0
R5,85.6232984,113.8020076,TOP,270.0
R4,91.1720046,102.6412984,TOP,0.0
R7,85.1152984,100.8190008,TOP,270.0
Q2,94.0209956,113.5509794,TOP,270.0
Q1,94.0620166,96.534986,TOP,270.0
J1,76.9999984,89.99999779999999,TOP,90.0
D4,80.3669716,80.5000168,TOP,270.0
D3,97.5499954,105.9320208,TOP,0.0
D2,82.56397,113.8059954,TOP,90.0
C9,67.5385238,94.3501542,TOP,0.0
C8,67.57799539999999,91.96197,TOP,0.0
C7,79.2620208,99.8359954,TOP,90.0
C6,72.086978,97.04197,TOP,0.0
C4,72.1499954,99.5819954,TOP,0.0
C3,84.34197,80.5320208,TOP,90.0
R3,82.8219832,104.6732984,TOP,0.0
IC2,75.1979954,104.22999219999998,TOP,180.0
BTN1,40.39997,19.5719954,TOP,90.0
Q7,48.52802079999999,30.8473094,TOP,180.0
R2,57.6606924,24.9100086,TOP,90.0
R1,51.3332984,24.9020076,TOP,270.0
C37,54.6239954,24.9059954,TOP,270.0
FID3,4.99999,4.99999,TOP,90.0
FID2,4.99999,4.99999,TOP,90.0
FID1,4.99999,4.99999,TOP,90.0
P13,40.3999954,37.1380004,TOP,0.0
DS7,40.14597,27.0627856,TOP,270.0
R75,53.85800759999999,32.7686924,TOP,180.0
R63,53.8280102,29.9972984,TOP,0.0
C2,91.1999954,105.42397,TOP,0.0
C1,97.0419954,102.6413238,TOP,180.0
